code_module,code_presentation,id_student,final_result,date_registration,studied_credits,num_of_prev_attempts,total_click_25,active_days_25,distinct_resources_25,no_vle_activity_25,n_banked_25,n_opportunity_25,no_assessment_opportunity_25,n_submitted_25,avg_score_25,avg_submit_delay_25,n_missing_25,submission_rate_25,proba,tier,missed_cp
BBB,2014B,2512349,Withdrawn,-17.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,,,
BBB,2014J,271047,Withdrawn,-25.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.2938189231067133,2.0,True
BBB,2014J,417978,Withdrawn,-24.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.2404224564059624,2.0,True
BBB,2014J,636660,Withdrawn,-113.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.29530895067473545,2.0,True
BBB,2014J,647876,Withdrawn,-162.0,120,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.41492425870441957,1.0,True
BBB,2014J,652754,Withdrawn,-143.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.27827293349884114,2.0,True
BBB,2014J,675671,Withdrawn,-15.0,60,0,44.0,3.0,12.0,0,0,1,0,1,100.0,-2.0,0,1.0,0.056976767897919924,4.0,True
BBB,2014J,682375,Withdrawn,-63.0,120,0,26.0,2.0,12.0,0,0,1,0,1,1.0,-1.0,0,1.0,0.3412300192562375,2.0,True
BBB,2014J,682538,Withdrawn,-24.0,120,0,138.0,7.0,15.0,0,0,1,0,1,1.0,-3.0,0,1.0,0.3569219602121397,2.0,True
BBB,2014J,683536,Withdrawn,-74.0,120,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.371133714529508,2.0,True
BBB,2014J,688600,Withdrawn,-51.0,120,0,418.0,10.0,38.0,0,0,1,0,0,,,1,0.0,0.3643507864530045,2.0,True
BBB,2014J,690102,Withdrawn,17.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.24617660874350475,2.0,True
BBB,2014J,693934,Withdrawn,-14.0,120,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.35616378609057503,2.0,True
BBB,2014J,698352,Withdrawn,-21.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.28565355984439156,2.0,True
CCC,2014J,393094,Withdrawn,-15.0,150,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.4523111464996173,1.0,True
CCC,2014J,482938,Withdrawn,-46.0,180,0,354.0,15.0,24.0,0,0,1,0,1,11.0,3.0,0,1.0,0.6090328149571922,1.0,True
CCC,2014J,498225,Withdrawn,-106.0,30,1,1.0,1.0,1.0,0,0,1,0,0,,,1,0.0,0.3176069593757383,2.0,True
CCC,2014J,500031,Withdrawn,-30.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.37235223114426236,2.0,True
CCC,2014J,510846,Withdrawn,-84.0,60,0,69.0,2.0,31.0,0,0,1,0,0,,,1,0.0,0.36775542116549104,2.0,True
CCC,2014J,512546,Withdrawn,-29.0,30,0,153.0,11.0,17.0,0,0,1,0,0,,,1,0.0,0.2691116243877702,2.0,True
CCC,2014J,529309,Withdrawn,-109.0,90,0,171.0,7.0,20.0,0,0,1,0,1,44.0,3.0,0,1.0,0.4177159454766325,1.0,True
CCC,2014J,542180,Withdrawn,-87.0,300,0,180.0,7.0,18.0,0,0,1,0,0,,,1,0.0,0.6351502923544343,1.0,True
CCC,2014J,560399,Withdrawn,-31.0,90,0,97.0,5.0,22.0,0,0,1,0,0,,,1,0.0,0.404256930413448,1.0,True
CCC,2014J,575265,Withdrawn,-81.0,90,0,105.0,8.0,18.0,0,0,1,0,1,67.0,3.0,0,1.0,0.3222168010153664,2.0,True
CCC,2014J,587547,Withdrawn,-84.0,90,0,34.0,4.0,9.0,0,0,1,0,0,,,1,0.0,0.4307606862055771,1.0,True
CCC,2014J,594319,Withdrawn,-92.0,120,0,600.0,12.0,12.0,0,0,1,0,0,,,1,0.0,0.4274538399148252,1.0,True
CCC,2014J,594627,Withdrawn,-135.0,120,0,28.0,1.0,6.0,0,0,1,0,1,67.0,3.0,0,1.0,0.2496547255445897,2.0,True
CCC,2014J,601857,Withdrawn,-155.0,120,0,624.0,8.0,16.0,0,0,1,0,0,,,1,0.0,0.5635549590603673,1.0,True
CCC,2014J,604379,Withdrawn,-56.0,90,0,139.0,7.0,13.0,0,0,1,0,1,33.0,3.0,0,1.0,0.44099470525385936,1.0,True
CCC,2014J,606182,Withdrawn,-108.0,60,0,28.0,3.0,7.0,0,0,1,0,0,,,1,0.0,0.35406863958827295,2.0,True
CCC,2014J,609044,Withdrawn,-23.0,60,1,36.0,2.0,18.0,0,0,1,0,0,,,1,0.0,0.30489628147743547,2.0,True
CCC,2014J,632904,Withdrawn,-16.0,60,1,224.0,14.0,19.0,0,0,1,0,1,67.0,3.0,0,1.0,0.17296526302568624,3.0,True
CCC,2014J,638040,Withdrawn,-30.0,120,0,8.0,3.0,3.0,0,0,1,0,0,,,1,0.0,0.4270839276830377,1.0,True
CCC,2014J,642627,Withdrawn,-23.0,90,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.41965451849241464,1.0,True
CCC,2014J,645867,Withdrawn,-22.0,120,0,315.0,8.0,23.0,0,0,1,0,0,,,1,0.0,0.3891250934561856,2.0,True
CCC,2014J,648654,Withdrawn,-155.0,60,0,1.0,1.0,1.0,0,0,1,0,0,,,1,0.0,0.39825486610148825,2.0,True
CCC,2014J,678382,Withdrawn,-91.0,120,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.4467666851583354,1.0,True
CCC,2014J,685289,Withdrawn,-38.0,90,0,317.0,13.0,24.0,0,0,1,0,1,78.0,3.0,0,1.0,0.2040854757453985,2.0,True
CCC,2014J,687348,Withdrawn,-43.0,120,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.5629977914406339,1.0,True
CCC,2014J,688028,Withdrawn,-46.0,120,0,5.0,1.0,3.0,0,0,1,0,0,,,1,0.0,0.46126568267315,1.0,True
CCC,2014J,1307784,Withdrawn,-149.0,60,1,0.0,0.0,0.0,1,1,0,1,0,,,0,,0.2175710797911422,2.0,False
CCC,2014J,2504694,Withdrawn,-52.0,90,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.550890401097059,1.0,True
DDD,2013B,2155857,Withdrawn,-147.0,180,0,0.0,0.0,0.0,1,0,2,0,0,,,2,0.0,,,
DDD,2014B,227826,Withdrawn,-101.0,60,1,265.0,14.0,53.0,0,0,1,0,1,72.0,-3.0,0,1.0,,,
