code_module,code_presentation,분야,개강 시기,과목 기간,TMA 수,CMA 수,평가 수,평가 밀도,CMA 가중치,시험 가중치,첫 평가일,첫 평가 가중치,25일 내 평가 수,60일 내 평가 수,평가 간격 중앙값,학습 자료 수,자료 유형 수,퀴즈 비중,포럼 비중,25일 클릭 중앙값,학점 중앙값,등록 학생,25일 전 이탈 비율,25일 이후 이탈률,전체 Withdrawn 비율,완주자 합격률,ROC-AUC,PR-AUC 배수,관리자 명단 비율,명단 포착률
AAA,2013J,사회과학,J,268,5,0.0,5.0,1.8656716417910446,0.0,100.0,19.0,10.0,1.0,2.0,49.0,211,9,0.0,0.07109004739336493,281.5,60.0,383,0.031331592689295036,0.12972972972972974,0.1566579634464752,0.8606811145510835,0.6638198757763976,2.2346290676860514,0.34594594594594597,0.625
AAA,2014J,사회과학,J,269,5,0.0,5.0,1.858736059479554,0.0,100.0,19.0,10.0,1.0,2.0,49.0,202,9,0.0,0.0297029702970297,244.5,60.0,365,0.04657534246575343,0.14080459770114942,0.18082191780821918,0.8461538461538461,0.6368165995495189,1.4615402164210094,0.3275862068965517,0.46938775510204084
BBB,2013J,사회과학,J,268,6,5.0,11.0,4.104477611940299,5.0,100.0,19.0,5.0,1.0,3.0,17.5,321,10,0.01557632398753894,0.059190031152647975,78.0,60.0,2237,0.17881090746535538,0.1340599455040872,0.2878855610192222,0.6729441305712492,0.6556828705480258,1.8721801938316296,0.27411444141689373,0.491869918699187
BBB,2014J,사회과학,J,262,5,0.0,5.0,1.9083969465648856,0.0,100.0,19.0,0.0,1.0,2.0,45.5,207,10,0.01932367149758454,0.014492753623188406,90.0,60.0,2292,0.21902268760907503,0.13175675675675674,0.3267888307155323,0.7465975372650681,0.5858178966155619,1.27505526117322,0.45664414414414417,0.5598290598290598
BBB,2013B,사회과학,B,240,6,5.0,11.0,4.583333333333333,5.0,100.0,19.0,5.0,1.0,3.0,17.5,315,10,0.015873015873015872,0.05396825396825397,119.0,60.0,1767,0.09790605546123372,0.20841180163214063,0.28579513299377474,0.6362916006339144,0.7234126984126984,1.926041954612659,0.4158291457286432,0.6837349397590361
BBB,2014B,사회과학,B,234,6,5.0,11.0,4.700854700854701,5.0,100.0,12.0,5.0,1.0,3.0,17.5,311,10,0.01607717041800643,0.05466237942122187,73.0,60.0,1613,0.20458772473651582,0.12431587177482409,0.30378177309361437,0.647373107747106,0.6118991464510332,1.4375718125143917,0.3385457388584832,0.5471698113207547
CCC,2014J,STEM,J,269,4,4.0,8.0,2.973977695167286,25.0,200.0,18.0,2.0,1.0,2.0,35.0,223,9,0.07174887892376682,0.04035874439461883,197.0,60.0,2498,0.18454763811048838,0.29197807673143994,0.4311449159327462,0.7142857142857143,0.7104732490506178,1.7949686500426083,0.5294117647058824,0.742320819112628
CCC,2014B,STEM,B,241,4,4.0,8.0,3.319502074688797,25.0,200.0,18.0,2.0,1.0,2.0,35.0,196,9,0.08163265306122448,0.04591836734693878,194.5,60.0,1936,0.21487603305785125,0.3171052631578947,0.46384297520661155,0.638728323699422,0.7146823207732713,1.6535945803575505,0.7585526315789474,0.9190871369294605
DDD,2013J,STEM,J,261,6,0.0,6.0,2.2988505747126435,0.0,100.0,25.0,10.0,1.0,2.0,35.0,462,10,0.015151515151515152,0.03463203463203463,157.0,60.0,1938,0.1480908152734778,0.2406060606060606,0.35139318885448917,0.6595067621320605,0.7463478080817624,2.0093142108023887,0.5212121212121212,0.8110831234256927
DDD,2014J,STEM,J,262,6,0.0,6.0,2.2900763358778624,0.0,100.0,20.0,5.0,1.0,2.0,35.0,365,10,0.0136986301369863,0.03561643835616438,128.5,60.0,1803,0.18691070438158625,0.20275862068965517,0.35884636716583473,0.6851211072664359,0.7038609561471647,2.0041464742671535,0.4868965517241379,0.7074829931972789
