변수,집단,학생,기준 이탈률,명단 비율,포착률,적중률,보정 차이,모델
gender,F,3848,0.1754158004158004,0.3471933471933472,0.52,0.26272455089820357,0.0009556200518414659,최종
gender,M,5302,0.1970954356846473,0.33836288193134667,0.5875598086124402,0.34225195094760313,-0.01462132646137776,최종
gender,F,3848,0.1754158004158004,0.34225571725571724,0.5111111111111111,0.2619589977220957,-0.007028848798710685,인구통계 제외
gender,M,5302,0.1970954356846473,0.34477555639381363,0.5904306220095694,0.337527352297593,-0.013289694568990151,인구통계 제외
disability,N,8305,0.18013245033112582,0.32751354605659244,0.5421122994652406,0.29816176470588235,-0.005491240033784567,최종
disability,Y,845,0.2650887573964497,0.48520710059171596,0.6875,0.375609756097561,-0.033420471548116254,최종
disability,N,8305,0.18013245033112582,0.3383503913305238,0.5574866310160428,0.29679715302491105,-0.004099250711224134,인구통계 제외
disability,Y,845,0.2650887573964497,0.39644970414201186,0.5714285714285714,0.382089552238806,-0.07510614630237647,인구통계 제외
age_band,0-35,6267,0.189723950853678,0.36349130365406096,0.5820016820857864,0.3037752414398595,-0.0024091306716080008,최종
age_band,35-55,2796,0.1838340486409156,0.2982832618025751,0.5214007782101168,0.3213429256594724,-0.019100008841230615,최종
age_band,55<=,87,0.19540229885057472,0.20689655172413793,0.29411764705882354,0.2777777777777778,-0.06141839424932127,최종
age_band,0-35,6267,0.189723950853678,0.36764001914791766,0.5836837678721615,0.3012152777777778,-0.0040891075812673205,인구통계 제외
age_band,35-55,2796,0.1838340486409156,0.2947067238912732,0.5116731517509727,0.3191747572815534,-0.024014080423455098,인구통계 제외
age_band,55<=,87,0.19540229885057472,0.19540229885057472,0.29411764705882354,0.29411764705882354,-0.05447315754530868,인구통계 제외
imd_group,Unknown,366,0.15846994535519127,0.20491803278688525,0.39655172413793105,0.30666666666666664,-0.009410311289176326,최종
imd_group,상위 70%,6101,0.17882314374692673,0.3346992296344862,0.5407882676443629,0.2889324191968658,-0.003087248475940302,최종
imd_group,하위 30%(빈곤),2683,0.2128214685054044,0.3775624301155423,0.6164623467600701,0.3474827245804541,-0.019219370128657737,최종
imd_group,Unknown,366,0.15846994535519127,0.26229508196721313,0.39655172413793105,0.23958333333333334,0.0015641586416053899,인구통계 제외
imd_group,상위 70%,6101,0.17882314374692673,0.34059990165546633,0.5554537121906508,0.29162656400384984,-0.002783373334866529,인구통계 제외
imd_group,하위 30%(빈곤),2683,0.2128214685054044,0.36190831159150205,0.5831873905429071,0.3429454170957775,-0.03022739177377251,인구통계 제외
edu_group,A Level 미만,3421,0.2101724641917568,0.41011400175387314,0.627260083449235,0.32145402708481824,-0.01110747756974681,최종
edu_group,A Level 이상,5729,0.17472508291150288,0.3014487694187467,0.5134865134865135,0.29762594093804284,-0.006257002299290493,최종
edu_group,A Level 미만,3421,0.2101724641917568,0.35808243203741597,0.5535465924895688,0.3248979591836735,-0.03260395732744195,인구통계 제외
edu_group,A Level 이상,5729,0.17472508291150288,0.33513702216791763,0.5634365634365635,0.29375,0.002448798609697017,인구통계 제외
