model,kind,unit,scope,module,mean,std
Logistic,feature,active_days_25,global,ALL,0.0021499347409182313,0.002541698985219886
Logistic,feature,age_band,global,ALL,0.0005165130785489591,0.0014302015018313103
Logistic,feature,avg_score_25,global,ALL,0.17485158643054294,0.01682036401177406
Logistic,feature,avg_score_25,value_only,ALL,0.06821411284011203,0.010311861043173703
Logistic,feature,avg_submit_delay_25,global,ALL,0.08552821137189606,0.01867842799508212
Logistic,feature,avg_submit_delay_25,value_only,ALL,0.0032540762108416764,0.0012969655319602957
Logistic,feature,code_module,global,ALL,0.09982642077065644,0.01114822165807715
Logistic,feature,date_registration,global,ALL,0.0020080140543260747,0.0015019612414404345
Logistic,feature,disability,global,ALL,0.009031698594212146,0.003573233002712229
Logistic,feature,distinct_resources_25,global,ALL,-0.0002798029219594089,0.000941200291456563
Logistic,feature,gender,global,ALL,0.004587738036558339,0.0013036104538234417
Logistic,feature,highest_education,global,ALL,0.006409262892432136,0.004282050559273383
Logistic,feature,imd_band,global,ALL,0.0009016281920124936,0.0016205819139234628
Logistic,feature,n_banked_25,global,ALL,0.0022246083620871882,0.0015627266653381114
Logistic,feature,n_opportunity_25,global,ALL,0.003469764132551343,0.0021813945169450754
Logistic,feature,n_submitted_25,global,ALL,0.028298330330508947,0.007369762371134026
Logistic,feature,no_vle_activity_25,global,ALL,-0.00020412975468864667,0.00023257323942864542
Logistic,feature,num_of_prev_attempts,global,ALL,0.0034502075064888316,0.0011412454292775058
Logistic,feature,presentation_period,global,ALL,0.00217523406136505,0.0016167508662037258
Logistic,feature,region,global,ALL,0.0002747541606232606,0.002008326987217085
Logistic,feature,studied_credits,global,ALL,0.014332733938752146,0.003937210847482154
Logistic,feature,total_click_25,global,ALL,3.276244978076105e-05,0.00037201610543803083
Logistic,group,VLE 활동량,global,ALL,0.003719018532651297,0.0036346636091517046
Logistic,group,VLE 활동량,within_module,AAA,-0.0057111499990834345,0.01013110759994527
Logistic,group,VLE 활동량,within_module,ALL,0.0028318701500729218,0.0025722608728839377
Logistic,group,VLE 활동량,within_module,BBB,0.006736882241023601,0.012046917706275232
Logistic,group,VLE 활동량,within_module,CCC,-0.0037564520478179666,0.004353888794166066
Logistic,group,VLE 활동량,within_module,DDD,0.0015505185524629763,0.004462203599248578
Logistic,group,VLE 활동량,within_module,EEE,0.0322982619622005,0.01774811145044207
Logistic,group,VLE 활동량,within_module,FFF,0.004129876403368149,0.004271259843732086
Logistic,group,VLE 활동량,within_module,GGG,0.01424337330787916,0.022395931247757416
Logistic,group,과목·개강 시기,global,ALL,0.10503229032326603,0.014686359044174362
Logistic,group,과목·개강 시기,within_module,AAA,0.0,0.0
Logistic,group,과목·개강 시기,within_module,ALL,0.0019787252873864135,0.0015532982208208283
Logistic,group,과목·개강 시기,within_module,BBB,0.004290316490229642,0.0021434463644270977
Logistic,group,과목·개강 시기,within_module,CCC,0.0,0.0
Logistic,group,과목·개강 시기,within_module,DDD,0.003970933889955215,0.008262094530211268
Logistic,group,과목·개강 시기,within_module,EEE,0.007362893133081645,0.006688111215171571
Logistic,group,과목·개강 시기,within_module,FFF,0.001247688160710214,0.0024065813637522476
Logistic,group,과목·개강 시기,within_module,GGG,0.008859900425622754,0.013483542090502006
Logistic,group,수강 부담·등록,global,ALL,0.015587372766352076,0.0013548752577588524
Logistic,group,수강 부담·등록,within_module,AAA,0.03824352224926344,0.08736275045499665
Logistic,group,수강 부담·등록,within_module,ALL,0.015318260329722642,0.0015814345655421561
Logistic,group,수강 부담·등록,within_module,BBB,0.00682837630975304,0.009895802128208297
Logistic,group,수강 부담·등록,within_module,CCC,0.016363413517395887,0.015873527857041735
Logistic,group,수강 부담·등록,within_module,DDD,0.020032137796251303,0.018664839475587988
Logistic,group,수강 부담·등록,within_module,EEE,0.017053539265960604,0.021279639702789014
Logistic,group,수강 부담·등록,within_module,FFF,0.016554922568496565,0.012432915739408613
Logistic,group,수강 부담·등록,within_module,GGG,0.015729472737010895,0.03900443223129179
Logistic,group,인구통계·사회경제,global,ALL,0.02333120868673959,0.006807350244798507
Logistic,group,인구통계·사회경제,within_module,AAA,-0.024116975851595664,0.052730385033962074
Logistic,group,인구통계·사회경제,within_module,ALL,0.019418676549959497,0.004472638275626932
Logistic,group,인구통계·사회경제,within_module,BBB,0.028460409151757415,0.017737067609814725
Logistic,group,인구통계·사회경제,within_module,CCC,0.004317845279864525,0.018107777589542958
Logistic,group,인구통계·사회경제,within_module,DDD,0.029567554164438226,0.014033690582728431
Logistic,group,인구통계·사회경제,within_module,EEE,0.006518718302685053,0.021834212964646018
Logistic,group,인구통계·사회경제,within_module,FFF,0.02129430912043743,0.014598354476943944
Logistic,group,인구통계·사회경제,within_module,GGG,0.02103845950249216,0.05021898005281858
