feature,개입 분류,묶음,순위 Logistic,순위 RandomForest,순위 XGBoost,평균 순위,PR-AUC 하락(평균),SHAP 방향,Logistic 오즈비
avg_score_25,부분 개입 — 학업 지원,평가 점수·제출 시점,1,1,1,1.0,0.1391809346417829,감소,"감소 (OR 0.75, IQR 10 증가)"
code_module,구조 — 과목·일정,과목·개강 시기,2,2,3,2.3333333333333335,0.05965480876488057,범주형,유의 범주 5개
avg_submit_delay_25,개입 가능 — 평가 제출,평가 점수·제출 시점,3,5,5,4.333333333333333,0.03588229404133873,증가,"증가 (OR 1.05, 1 증가)"
studied_credits,부분 개입 — 수강 설계,수강 부담·등록,5,4,4,4.333333333333333,0.014537644281283063,증가,"증가 (OR 1.14, IQR 30 증가)"
n_opportunity_25,구조 — 과목·일정,평가 제출,9,3,2,4.666666666666667,0.023491349310544234,증가,유의하지 않음
disability,식별용 — 인구통계·사회경제,인구통계·사회경제,6,10,6,7.333333333333333,0.007366837349502328,범주형,유의 범주 1개
n_submitted_25,개입 가능 — 평가 제출,평가 제출,4,6,13,7.666666666666667,0.01204757941153905,감소,"감소 (OR 0.63, 1 증가)"
presentation_period,구조 — 과목·일정,과목·개강 시기,12,8,7,9.0,0.004321107604533144,범주형,유의 범주 1개
highest_education,식별용 — 인구통계·사회경제,인구통계·사회경제,7,11,10,9.333333333333334,0.004468744861923428,범주형,유의 범주 2개
gender,식별용 — 인구통계·사회경제,인구통계·사회경제,8,12,9,9.666666666666666,0.003420859038226211,범주형,유의 범주 1개
date_registration,식별용 — 등록·이력,수강 부담·등록,14,9,8,10.333333333333334,0.003809587980159523,감소,"감소 (OR 0.91, IQR 65 증가)"
total_click_25,개입 가능 — 학습 활동,VLE 활동량,18,7,11,12.0,0.0027398382592812693,감소,유의하지 않음
num_of_prev_attempts,식별용 — 등록·이력,재수강 이력,10,13,15,12.666666666666666,0.0021148082753862044,감소,"감소 (OR 0.85, 1 증가)"
active_days_25,개입 가능 — 학습 활동,VLE 활동량,13,15,12,13.333333333333334,0.0018486470750897052,감소,"감소 (OR 0.86, IQR 11 증가)"
n_banked_25,식별용 — 등록·이력,재수강 이력,11,18,19,16.0,0.0007650953969337379,혼재,"감소 (OR 0.55, 1 증가)"
distinct_resources_25,개입 가능 — 학습 활동,VLE 활동량,20,14,14,16.0,0.0008577891996480454,혼재,유의하지 않음
region,식별용 — 인구통계·사회경제,인구통계·사회경제,17,16,16,16.333333333333332,0.0006027892583318173,범주형,유의 범주 2개
age_band,식별용 — 인구통계·사회경제,인구통계·사회경제,16,17,18,17.0,0.00025370564745565686,범주형,유의 범주 1개
imd_band,식별용 — 인구통계·사회경제,인구통계·사회경제,15,20,20,18.333333333333332,0.00012045834198619748,범주형,유의 범주 1개
no_vle_activity_25,개입 가능 — 학습 활동,VLE 활동량,19,19,17,18.333333333333332,-4.248526275868765e-05,증가,유의하지 않음
