column,계수,하한,상한,p값,오즈비,OR 하한,OR 상한,단위,피처,유의(95%)
code_module_GGG,-1.7687825801053767,-2.248388402875976,-1.2891767573347777,4.889619259306559e-13,0.17054048187217039,0.10556922259642051,0.275497491047909,기준 범주 대비,code_module,예
code_module_DDD,0.7654549535242564,0.42762723020804494,1.1032826768404678,8.957725283462899e-06,2.149972289655647,1.5336142893213047,3.014043934301605,기준 범주 대비,code_module,예
missingindicator_avg_score_25,0.6938669311970995,0.3575848236675168,1.0301490387266823,5.2527348967300905e-05,2.001440019439597,1.4298718482784554,2.8014833330953777,점수 없음 여부(0→1),avg_score_25,예
code_module_FFF,0.6750889235845172,0.33427698880151147,1.015900858367523,0.00010345337766956103,1.9642076325876117,1.3969300239643974,2.761850312993029,기준 범주 대비,code_module,예
code_module_CCC,0.5968553444319094,0.24236688726758476,0.9513438015962339,0.0009668184449111993,1.8163978642604264,1.2742616174278887,2.5891866757703292,기준 범주 대비,code_module,예
n_banked_25,-0.593366894203334,-0.9853781003521256,-0.20135568805454246,0.003010192655209004,0.552464061810137,0.3732980561235076,0.8176215616048437,1 증가,n_banked_25,예
code_module_EEE,-0.5637436575061976,-1.0216335080410235,-0.1058538069713717,0.01581906518270577,0.5690746504984208,0.36000638627338927,0.89955614730115,기준 범주 대비,code_module,예
highest_education_No Formal quals,0.5116561230092481,0.14703954738387343,0.8762726986346228,0.005952946037000288,1.6680514070054062,1.1583997738045346,2.401930282906123,기준 범주 대비,highest_education,예
n_submitted_25,-0.45923501625297997,-0.7605110124091687,-0.1579590200967912,0.002812019447394454,0.631766751996245,0.4674275047136839,0.8538847733668689,1 증가,n_submitted_25,예
disability_Y,0.4420298642280164,0.31932029963233644,0.5647394288236963,1.6617981598831762e-12,1.5558622043639325,1.3761920481275682,1.758989381069149,기준 범주 대비,disability,예
imd_band_Unknown,-0.4060019506607524,-0.7111505944482371,-0.10085330687326766,0.009114138828816742,0.6663088676810615,0.4910788396879875,0.9040656433751006,기준 범주 대비,imd_band,예
highest_education_Post Graduate Qualification,0.3407749883084805,-0.08726833205836221,0.7688183086753233,0.1186720572408767,1.4060368305399147,0.916431154779611,2.157215584088426,기준 범주 대비,highest_education,
avg_score_25,-0.28795454483120003,-0.3175622421334149,-0.2583468475289852,5.228610718687217e-81,0.7497956735533563,0.7279213719851177,0.7723273058272361,IQR 10 증가,avg_score_25,예
highest_education_Lower Than A Level,0.2854805881833117,0.19646119282786847,0.3744999835387549,3.2679398191120175e-10,1.3304012496276536,1.2170880882147783,1.4542640768155128,기준 범주 대비,highest_education,예
gender_M,-0.2367167480019273,-0.3351885225419338,-0.13824497346192077,2.45820019426157e-06,0.7892148030304452,0.7152032417092055,0.8708853218196585,기준 범주 대비,gender,예
region_West Midlands Region,0.20808566529692754,0.01806772448963867,0.3981036061042164,0.03184699423469208,1.2313186463084027,1.0182319332927479,1.4889982912280715,기준 범주 대비,region,예
region_East Midlands Region,0.1991966593026182,0.004463548073389639,0.39392977053184675,0.04497491195629251,1.2204219496310968,1.004473524542051,1.4827964090147747,기준 범주 대비,region,예
presentation_period_J,-0.19315047535997396,-0.2852480057726884,-0.1010529449472595,3.947832935637519e-05,0.8243579192510936,0.7518277735682747,0.9038851754660273,기준 범주 대비,presentation_period,예
num_of_prev_attempts,-0.16467413455284002,-0.25458559350961485,-0.0747626755960652,0.000331055798765686,0.848170048372024,0.7752376949358014,0.9279636886271063,1 증가,num_of_prev_attempts,예
active_days_25,-0.1487947799827963,-0.27048983912632946,-0.02709972083926314,0.016556130835706822,0.8617459442713828,0.76300565276088,0.9732641819639366,IQR 11 증가,active_days_25,예
imd_band_20-30%,0.14766342997244797,-0.02094504312350276,0.3162719030683987,0.0860721292300434,1.1591227047425836,0.9792727808639333,1.372003256809041,기준 범주 대비,imd_band,
age_band_55<=,-0.1466351424128104,-0.7105933325971951,0.41732304777157436,0.6103236422342349,0.8636090142422481,0.491352575455366,1.5178927856219555,기준 범주 대비,age_band,
imd_band_90-100%,-0.1429839135405723,-0.34500163695717684,0.05903380987603224,0.16537424407306456,0.8667680120117994,0.7082191941423585,1.0608111060258436,기준 범주 대비,imd_band,
region_Yorkshire Region,0.1382048246273041,-0.06303625216139064,0.33944590141599884,0.17829291839897266,1.1482107080206445,0.9389094355757697,1.404169326730423,기준 범주 대비,region,
n_opportunity_25,0.13521346315136762,-0.1253179688414462,0.39574489514418143,0.3090565701893683,1.1447811268582913,0.8822163406742374,1.4854903134183233,1 증가,n_opportunity_25,
studied_credits,0.1296182504837386,0.0986928158279635,0.1605436851395137,2.1246994108579881e-16,1.138393719111888,1.103727199952461,1.174149064885974,IQR 30 증가,studied_credits,예
code_module_BBB,-0.12609495798028886,-0.46493038788427404,0.21274047192369633,0.46576601700917486,0.8815311343928155,0.6281788325252333,1.2370635568537227,기준 범주 대비,code_module,
region_Ireland,0.12550736841875199,-0.12581308115206213,0.3768278179895661,0.3276837929209798,1.1337235226794138,0.8817796526170801,1.4576533060859633,기준 범주 대비,region,
region_North Region,0.11952112631341508,-0.11862918797121211,0.35767144059804223,0.3252865035661707,1.1269570522636068,0.8881370716187486,1.4299957047529543,기준 범주 대비,region,
age_band_35-55,0.10925648324445582,0.01567271415595156,0.20284025233296007,0.02212563301910943,1.115448407482022,1.0157961752875253,1.224876781409416,기준 범주 대비,age_band,예
imd_band_50-60%,-0.10064512366397028,-0.2850882881134718,0.08379804078553123,0.2848472289848435,0.9042538742547284,0.7519478633303756,1.0874092593111508,기준 범주 대비,imd_band,
date_registration,-0.08933919033277432,-0.14152722580356977,-0.03715115486197886,0.000793059826952511,0.9145353194204936,0.8680315424069112,0.9635304820242039,IQR 65 증가,date_registration,예
imd_band_60-70%,0.07653876307627805,-0.1066191267864516,0.2596966529390077,0.41276489770309444,1.0795440359739394,0.898867962531154,1.2965367264010257,기준 범주 대비,imd_band,
