id_student,code_module,code_presentation,세트,target_churn_after_25,proba,tier,checkpoint_day,checkpoint_type,checkpoint_weight,enrolled_at_cp,missed_cp,activity_decline,rate_ratio,manager_status
11391,AAA,2013J,개발,0,0.1314585290226281,3,54.0,TMA,20.0,True,False,True,0.3787413224081029,명단 외
28400,AAA,2013J,개발,0,0.2139468333520741,2,54.0,TMA,20.0,True,False,True,0.3184765826042203,25일 명단
31604,AAA,2013J,개발,0,0.0825417354106242,4,54.0,TMA,20.0,True,False,False,0.9458765762749692,명단 외
32885,AAA,2013J,개발,0,0.347243861726585,2,54.0,TMA,20.0,True,True,True,0.1465845024255933,25일 명단
38053,AAA,2013J,개발,0,0.1034632323129505,4,54.0,TMA,20.0,True,True,True,0.40045977011494255,명단 외
45462,AAA,2013J,개발,0,0.1619418548188582,3,54.0,TMA,20.0,True,False,False,0.5646006110868617,명단 외
45642,AAA,2013J,개발,0,0.117798756864248,4,54.0,TMA,20.0,True,True,True,0.4615670601357003,명단 외
52130,AAA,2013J,개발,0,0.1646800251194199,3,54.0,TMA,20.0,True,False,False,0.6013126367329931,명단 외
53025,AAA,2013J,개발,0,0.0655289171699861,4,54.0,TMA,20.0,True,False,False,0.6019704433497537,명단 외
57506,AAA,2013J,개발,0,0.1560994012446165,3,54.0,TMA,20.0,True,False,False,0.5126760563380282,명단 외
58873,AAA,2013J,개발,0,0.1217461640489834,4,54.0,TMA,20.0,True,False,False,0.8111658456486043,명단 외
59185,AAA,2013J,개발,0,0.169602132922294,3,54.0,TMA,20.0,True,False,True,0.4808997118691328,명단 외
62155,AAA,2013J,개발,0,0.0805686825471009,4,54.0,TMA,20.0,True,False,False,0.9176195192221123,명단 외
63400,AAA,2013J,개발,0,0.1214066982005245,4,54.0,TMA,20.0,True,False,False,0.5791882819652121,명단 외
65002,AAA,2013J,개발,1,0.0997981386927914,4,54.0,TMA,20.0,True,False,False,0.7487684729064039,명단 외
70464,AAA,2013J,개발,0,0.1626792723682651,3,54.0,TMA,20.0,True,False,True,0.2718576195773081,명단 외
