feature,평균 |SHAP|,방향(값↑ → 위험),순위 상관,SHAP 순위,permutation 순위(XGBoost)
avg_score_25,0.3677065,감소,-0.9712262242176345,1,1
n_opportunity_25,0.2137408,증가,0.6741730364586622,2,2
code_module,0.20517378,범주형,,3,3
avg_submit_delay_25,0.13517277,증가,0.9311737687880612,4,5
studied_credits,0.1010125,증가,0.9022706047615932,5,4
highest_education,0.09984023,범주형,,6,10
presentation_period,0.06872014,범주형,,7,7
active_days_25,0.05557819,감소,-0.8530697678964633,8,12
disability,0.05253346,범주형,,9,6
date_registration,0.050990302,감소,-0.8688692191990016,10,8
total_click_25,0.035424683,감소,-0.6486967351117994,11,11
imd_band,0.027834235,범주형,,12,20
distinct_resources_25,0.025022835,혼재,0.04829611586414544,13,14
gender,0.022152513,범주형,,14,9
region,0.021876412,범주형,,15,16
n_submitted_25,0.009163921,감소,-0.8114151403824961,16,13
age_band,0.008315484,범주형,,17,18
num_of_prev_attempts,0.008098733,감소,-0.5839962880604347,18,15
n_banked_25,0.00042065984,혼재,-0.06316746750323214,19,19
no_vle_activity_25,8.029123e-05,증가,0.3975970866746614,20,17
