code_module,code_presentation,id_student,landmark_day,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,date_registration,total_click_25,active_days_25,distinct_resources_25,no_vle_activity_25,n_opportunity_25,n_submitted_25,n_missing_25,submission_rate_25,avg_score_25,avg_submit_delay_25,no_assessment_opportunity_25,eligible_at_25,target_churn_after_25,final_result,date_unregistration,cohort_status_25
AAA,2013J,11391,25,M,East Anglian Region,HE Qualification,90-100%,55<=,N,0,240,-159.0,303.0,7.0,24.0,0.0,1.0,1.0,0.0,1.0,78.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,28400,25,F,Scotland,HE Qualification,20-30%,35-55,N,0,60,-53.0,335.0,11.0,21.0,0.0,1.0,1.0,0.0,1.0,70.0,3.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,31604,25,F,South East Region,A Level or Equivalent,50-60%,35-55,N,0,60,-52.0,309.0,16.0,21.0,0.0,1.0,1.0,0.0,1.0,72.0,-2.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,32885,25,F,West Midlands Region,Lower Than A Level,50-60%,0-35,N,0,60,-176.0,263.0,15.0,17.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,38053,25,M,Wales,A Level or Equivalent,80-90%,35-55,N,0,60,-110.0,450.0,23.0,20.0,0.0,1.0,1.0,0.0,1.0,79.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,45462,25,M,Scotland,HE Qualification,30-40%,0-35,N,0,60,-67.0,316.0,8.0,20.0,0.0,1.0,1.0,0.0,1.0,70.0,1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,45642,25,F,North Western Region,A Level or Equivalent,90-100%,0-35,N,0,120,-29.0,371.0,14.0,22.0,0.0,1.0,1.0,0.0,1.0,72.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,52130,25,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,0,90,-33.0,331.0,14.0,25.0,0.0,1.0,1.0,0.0,1.0,72.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,53025,25,M,North Region,Post Graduate Qualification,Unknown,55<=,N,0,60,-179.0,350.0,13.0,20.0,0.0,1.0,1.0,0.0,1.0,71.0,-10.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,57506,25,M,South Region,Lower Than A Level,70-80%,35-55,N,0,60,-103.0,355.0,18.0,20.0,0.0,1.0,1.0,0.0,1.0,68.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,58873,25,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,N,0,60,-47.0,294.0,14.0,21.0,0.0,1.0,1.0,0.0,1.0,73.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,59185,25,M,East Anglian Region,Lower Than A Level,60-70%,35-55,N,0,60,-59.0,371.0,11.0,23.0,0.0,1.0,1.0,0.0,1.0,67.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,62155,25,F,North Western Region,HE Qualification,50-60%,0-35,N,0,60,-68.0,383.0,11.0,24.0,0.0,1.0,1.0,0.0,1.0,73.0,-2.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,63400,25,M,Scotland,Lower Than A Level,40-50%,35-55,N,0,60,-67.0,452.0,18.0,19.0,0.0,1.0,1.0,0.0,1.0,83.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,65002,25,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,0,60,-180.0,91.0,5.0,13.0,0.0,1.0,1.0,0.0,1.0,66.0,-2.0,0.0,1,1.0,Withdrawn,96.0,model_eligible
AAA,2013J,70464,25,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,N,0,60,-95.0,310.0,11.0,23.0,0.0,1.0,1.0,0.0,1.0,59.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,71361,25,M,Ireland,HE Qualification,Unknown,35-55,N,0,60,-130.0,798.0,20.0,26.0,0.0,1.0,1.0,0.0,1.0,82.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,74372,25,M,East Anglian Region,A Level or Equivalent,10-20,35-55,N,0,150,-50.0,22.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,60.0,3.0,0.0,1,0.0,Fail,,model_eligible
AAA,2013J,75091,25,M,South West Region,A Level or Equivalent,30-40%,35-55,N,0,60,-107.0,476.0,19.0,23.0,0.0,1.0,1.0,0.0,1.0,67.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,77367,25,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,0,60,-27.0,226.0,20.0,20.0,0.0,1.0,1.0,0.0,1.0,73.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,91265,25,M,North Western Region,HE Qualification,0-10%,0-35,N,0,60,-31.0,223.0,13.0,17.0,0.0,1.0,1.0,0.0,1.0,75.0,2.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,94961,25,M,South Region,Lower Than A Level,70-80%,35-55,N,0,60,-170.0,199.0,12.0,16.0,0.0,1.0,1.0,0.0,1.0,74.0,-2.0,0.0,1,1.0,Withdrawn,72.0,model_eligible
AAA,2013J,98094,25,M,Wales,Lower Than A Level,70-80%,35-55,N,0,60,-107.0,594.0,20.0,22.0,0.0,1.0,1.0,0.0,1.0,62.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,100893,25,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,N,0,60,-62.0,101.0,10.0,17.0,0.0,1.0,1.0,0.0,1.0,63.0,-2.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,101781,25,M,South Region,Lower Than A Level,80-90%,35-55,N,0,60,-103.0,1044.0,17.0,30.0,0.0,1.0,1.0,0.0,1.0,84.0,-3.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,102806,25,M,North Western Region,A Level or Equivalent,30-40%,0-35,N,0,60,-107.0,389.0,21.0,24.0,0.0,1.0,1.0,0.0,1.0,80.0,0.0,0.0,1,0.0,Pass,,model_eligible
